Country,Longitude,Latitude,LocationId
AD,1.53,42.51,1
AE,55.47,25.42,2
AE,55.47,25.39,3
AE,54.38,24.48,4
AE,54.54,24.51,5
AE,54.49,24.4,6
AE,54.49,24.4,7
AE,54.61,24.46,8
AE,55.69,24.19,9
AE,54.38,24.48,10
AE,54.34,24.47,11
AE,54.37,24.49,12
AE,55.69,24.19,13
AE,54.7,24.3,14
AE,54.6,24.48,15
AE,55.74,24.21,16
AE,54.34,24.47,17
AE,54.35,24.47,18
AE,54.37,24.47,19
AE,54.38,24.48,20
AE,54.51,24.42,21
AE,54.35,24.46,22
AE,54.66,24.41,23
AE,54.41,24.5,24
AE,54.32,24.47,25
AE,54.57,24.35,26
AE,55.62,24.21,27
AE,54.44,24.54,28
AE,54.34,24.47,29
AE,54.94,24.9,30
AE,54.37,24.5,31
AE,54.6,24.4,32
AE,55.77,24.48,33
AE,54.44,24.43,34
AE,54.61,24.46,35
AE,54.39,24.46,36
AE,54.39,24.43,37
AE,54.66,24.41,38
AE,55.53,23.85,39
AE,54.37,24.47,40
AE,54.37,24.52,41
AE,54.37,24.48,42
AE,54.37,24.47,43
AE,55.4,24.12,44
AE,55.29,25.24,45
AE,55.65,24.19,46
AE,55.73,24.24,47
AE,55.39,25.1,48
AE,55.81,24.16,49
AE,55.69,24.21,50
AE,55.8,24.13,51
AE,54.47,24.41,52
AE,54.63,24.29,53
AE,54.69,24.39,54
AE,55.23,25.05,55
AE,55.23,25.17,56
AE,55.6,24.78,57
AE,55.35,25.25,58
AE,55.31,25.27,59
AE,55.16,25.1,60
AE,55.27,25.19,61
AE,55.28,25.21,62
AE,55.15,25.08,63
AE,55.35,25.25,64
AE,55.2,25.12,65
AE,55.4,25.23,66
AE,55.28,25.19,67
AE,55.12,25.13,68
AE,55.14,25.08,69
AE,55.24,25.17,70
AE,55.13,25.07,71
AE,55.31,25.27,72
AE,55.28,25.19,73
AE,55.32,25.27,74
AE,55.13,25.07,75
AE,55.12,25.13,76
AE,55.23,25.19,77
AE,55.25,25.22,78
AE,55.17,25.1,79
AE,55.31,25.27,80
AE,55.33,25.26,81
AE,55.27,25.2,82
AE,55.24,25.05,83
AE,55.35,25.27,84
AE,55.19,25.11,85
AE,55.19,25.03,86
AE,55.42,25.23,87
AE,55.24,25.2,88
AE,55.46,25.26,89
AE,55.35,25.25,90
AE,55.12,25.04,91
AE,55.28,25.2,92
AE,55.33,25.25,93
AE,55,24.92,94
AE,55.28,25.24,95
AE,55.42,25.13,96
AE,55.19,25.13,97
AE,55.28,25.21,98
AE,55.12,25.05,99
AE,55.41,25.22,100
AE,55.33,25.23,101
AE,55.28,25.2,102
AE,55.28,25.25,103
AE,55.44,25.04,104
AE,55.43,25.23,105
AE,55.33,25.25,106
AE,55.26,25.23,107
AE,55.27,25.23,108
AE,55.13,25.07,109
AE,55.31,25.27,110
AE,55.28,25.22,111
AE,55.09,24.99,112
AE,55.2,25.12,113
AE,55.2,25.12,114
AE,55.31,25.23,115
AE,55.14,25.08,116
AE,55.31,25.27,117
AE,55.14,25.08,118
AE,55.14,25.08,119
AE,55.16,25.11,120
AE,55.35,25.25,121
AE,55.35,25.25,122
AE,55.12,25.04,123
AE,55,24.54,124
AE,55.27,25.2,125
AE,55.3,25.25,126
AE,55.21,25.1,127
AE,55.4,25.13,128
AE,55.38,25.11,129
AE,55.33,25.29,130
AE,55.17,25.05,131
AE,55.16,25.1,132
AE,55.16,25.11,133
AE,56.3,25.13,134
AE,56.33,25.12,135
AE,55.78,25.68,136
AE,55.97,25.79,137
AE,55.92,25.75,138
AE,55.39,25.35,139
AE,55.4,25.35,140
AE,55.38,25.33,141
AE,55.38,25.32,142
AE,55.37,25.3,143
AE,55.48,25.3,144
AE,55.54,25.53,145
AR,-58.37,-34.68,146
AR,-57.87,-34.88,147
AR,-58.44,-34.58,148
AR,-58.7,-34.53,149
AR,-58.51,-34.47,150
AR,-58.5,-34.49,151
AR,-58.4,-34.59,152
AR,-58.38,-34.6,153
AR,-58.53,-34.8,154
AR,-58.49,-34.48,155
AR,-58.52,-34.51,156
AR,-58.65,-34.63,157
AR,-58.92,-34.45,158
AR,-60.22,-33.39,159
AR,-58.86,-34.46,160
AR,-58.26,-34.72,161
AR,-58.55,-34.49,162
AR,-58.56,-34.69,163
AR,-58.66,-34.4,164
AR,-58.73,-34.45,165
AR,-58.47,-34.53,166
AR,-58.41,-34.6,167
AR,-58.44,-34.57,168
AR,-58.4,-34.6,169
AR,-58.44,-34.58,170
AR,-58.47,-34.55,171
AR,-58.46,-34.56,172
AR,-58.39,-34.6,173
AR,-58.38,-34.6,174
AR,-58.42,-34.57,175
AR,-58.37,-34.61,176
AR,-58.46,-34.56,177
AR,-58.43,-34.59,178
AR,-58.42,-34.57,179
AR,-58.38,-34.59,180
AR,-58.43,-34.58,181
AR,-58.38,-34.61,182
AR,-58.44,-34.57,183
AR,-58.39,-34.6,184
AR,-58.38,-34.6,185
AR,-58.36,-34.61,186
AR,-58.49,-34.55,187
AR,-58.46,-34.57,188
AR,-58.37,-34.6,189
AR,-58.38,-34.6,190
AR,-58.41,-34.59,191
AR,-58.39,-34.6,192
AR,-58.4,-34.58,193
AR,-58.36,-34.6,194
AR,-58.45,-34.56,195
AR,-58.38,-34.61,196
AR,-58.37,-34.6,197
AR,-58.38,-34.61,198
AR,-58.37,-34.61,199
AR,-58.39,-34.59,200
AR,-58.38,-34.62,201
AR,-58.43,-34.62,202
AR,-58.43,-34.62,203
AR,-58.39,-34.6,204
AR,-58.43,-34.58,205
AR,-58.52,-34.61,206
AR,-58.41,-34.58,207
AR,-58.47,-34.54,208
AR,-58.41,-34.6,209
AR,-58.39,-34.6,210
AR,-58.37,-34.6,211
AR,-58.37,-34.6,212
AR,-58.38,-34.62,213
AR,-58.57,-34.64,214
AR,-58.37,-34.62,215
AR,-58.41,-34.59,216
AR,-58.37,-34.61,217
AR,-58.4,-34.58,218
AR,-58.39,-34.59,219
AR,-58.37,-34.6,220
AR,-58.41,-34.58,221
AR,-58.38,-34.6,222
AR,-58.44,-34.57,223
AR,-58.4,-34.6,224
AR,-58.37,-34.61,225
AR,-58.46,-34.54,226
AR,-58.41,-34.59,227
AR,-58.41,-34.6,228
AR,-58.48,-34.58,229
AR,-58.4,-34.59,230
AR,-58.4,-34.77,231
AR,-58.49,-34.55,232
AR,-58.38,-34.6,233
AR,-58.44,-34.6,234
AR,-58.39,-34.6,235
AR,-58.44,-34.57,236
AR,-58.44,-34.62,237
AR,-58.45,-34.55,238
AR,-58.37,-34.6,239
AR,-68.84,-32.89,240
AR,-68.84,-32.88,241
AR,-68.78,-32.9,242
AR,-68.84,-32.89,243
AR,-68.83,-32.92,244
AR,-60.65,-32.94,245
AR,-60.67,-32.93,246
AR,-60.7,-32.96,247
AR,-64.31,-31.32,248
AR,-64.2,-31.44,249
AR,-64.19,-31.41,250
AR,-64.24,-31.36,251
AR,-64.2,-31.41,252
AR,-64.2,-31.44,253
AT,16.32,48.11,254
AT,13.01,47.82,255
AT,13.04,47.8,256
AT,13.05,47.81,257
AT,16.56,48.13,258
AT,16.35,48.2,259
AT,16.39,48.24,260
AT,16.38,48.18,261
AT,16.37,48.21,262
AT,16.37,48.21,263
AT,16.35,48.22,264
AT,16.36,48.2,265
AT,16.38,48.21,266
AT,16.39,48.21,267
AT,16.43,48.24,268
AT,16.34,48.2,269
AT,16.36,48.21,270
AT,16.37,48.2,271
AU,151.29,-33.8,272
AU,150.82,-33.77,273
AU,151,-33.82,274
AU,151.21,-33.88,275
AU,151.21,-33.87,276
AU,151.21,-33.87,277
AU,151.21,-33.87,278
AU,151.21,-33.88,279
AU,150.99,-33.8,280
AU,153.03,-27.47,281
AU,153.02,-27.47,282
AU,153.43,-28.03,283
AU,153.03,-27.39,284
AU,153.43,-28.01,285
AU,153.43,-28.02,286
AU,153.09,-27.54,287
AU,153.03,-27.5,288
AU,144.97,-37.81,289
AU,144.97,-37.82,290
AU,144.95,-37.82,291
AU,144.97,-37.81,292
AU,144.96,-37.81,293
AW,-70.04,12.57,294
AW,-70.04,12.52,295
AW,-70.04,12.52,296
AZ,49.85,40.38,297
AZ,49.86,40.38,298
AZ,49.85,40.4,299
AZ,48.9,39.95,300
BE,4.38,50.84,301
BE,4.35,50.83,302
BE,4.33,50.83,303
BE,4.41,50.84,304
BE,4.4,51.22,305
BE,4.36,50.84,306
BE,4.36,50.85,307
BE,4.42,51.22,308
BE,3.19,51.27,309
BE,4.36,50.85,310
BE,3.72,51.04,311
BE,3.72,51.05,312
BE,4.71,50.88,313
BE,4.36,50.86,314
BE,4.49,50.9,315
BE,4.48,50.87,316
BE,4.48,50.9,317
BE,5.57,50.63,318
BE,4.86,50.47,319
BG,25.62,42.42,320
BG,23.43,42.64,321
BG,23.32,42.66,322
BG,23.32,42.7,323
BG,23.32,42.69,324
